Page Name,Beginning Of Interval,Page Likes,Page Like Growth,Followers,Follower Growth,Post Count,Total Interactions,Interaction Growth,Interaction Rate,Interactions Per Post,Comments,Shares,Total Reactions (including Likes),Likes,Angry,Haha,Wow,Sad,Love,Photo Posts,Photo Interactions,Photo Interaction Rate,Link Posts,Link Interactions,Link Interaction Rate,Status Posts,Status Interactions,Status Interaction Rate,Facebook Video Posts (excluding Live),Facebook Video Interactions (excluding Live),Facebook Video Interaction Rate (excluding Live),Facebook Live Video Posts,Facebook Live Interactions,Facebook Live Interaction Rate
Facebook 360,2022-01-01 00:00:00.000000000,3409879,0.01%,3511083,0%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2022-01-06 15:27:50.103092783,178009471,0.80%,178318547,0.80%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2022-01-12 06:55:40.206185567,177997606,0.79%,178563285,0.80%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2022-01-17 22:23:30.309278350,178009511,0.80%,178009598,0.80%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook for Creators,2022-01-23 13:51:20.412371134,533984,8.74%,643159,5.05%,17,25256,0%,0.23%,"1,485.65",6663,894,17699,13781,23,43,90,11,3389,16,23822,0.28%,0,0,,0,0,,1,1434,0.27%,0,0,
Facebook Public Affairs,2022-01-29 05:19:10.515463917,6614,4.14%,8224,3.63%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Marketing Expert Reminder,2022-02-03 20:47:00.618556701,34151,1.32%,37019,1.25%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Community,2022-02-09 12:14:50.721649484,453899,0.59%,587702,0.32%,9,3445,0%,0.06%,382.78,962,158,2325,1693,3,5,15,0,541,1,259,0.06%,0,0,,0,0,,8,3186,0.09%,0,0,
Facebook Gaming,2022-02-15 03:42:40.824742268,10626285,0.07%,12839975,0.17%,45,17396,0%,0%,386.58,3071,1041,13284,9991,36,1432,88,15,1570,22,8994,0.00%,1,150,0.00%,2,318,0.00%,12,4325,0.00%,8,3609,0.00%
Facebook,2022-02-20 19:10:30.927835051,178009435,0.80%,182312496,0.79%,3,21940,0%,0%,"7,313.33",4654,1259,16027,12743,149,293,72,62,2497,0,0,,0,0,,0,0,,0,0,,3,21940,0.00%
